"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000UKLkOKAX","500Qk00000KHMa5IAH","TextPost","0054u000008ARZjAAO","2025-01-06T19:30:03.000Z","Description: There are some errors I would like to better understand and we would like to make sure that the info in one of our tables is updating accurately","","","","0054u000008ARZjAAO","2025-01-06T19:30:03.000Z"
"0D5Qk00000UKNEsKAP","500Qk00000KHMa5IAH","TextPost","0054u000007oss5AAA","2025-01-06T19:49:56.000Z","Invitation updated. Attendees: No attendees listed","","","","0054u000007oss5AAA","2025-01-06T19:49:56.000Z"
"0D5Qk00000UKNEuKAP","500Qk00000KHMa5IAH","TextPost","0054u000007oss5AAA","2025-01-06T19:49:57.000Z","Invitation updated. Attendees: Joshua Sexton, Alex Parsa","","","","0054u000007oss5AAA","2025-01-06T19:49:57.000Z"
"0D5Qk00000UKNEtKAP","500Qk00000KHMa5IAH","TextPost","0054u000007oss5AAA","2025-01-06T19:49:57.000Z","Invitation updated. Attendees: Joshua Sexton","","","","0054u000007oss5AAA","2025-01-06T19:49:57.000Z"
"0D5Qk00000UKmsiKAD","500Qk00000KHMa5IAH","TextPost","0054u000007oss5AAA","2025-01-06T21:47:32.000Z","What We've Learned Updated: find out if they have migrated SQL to a new box?","","","","0054u000007oss5AAA","2025-01-06T21:47:32.000Z"
"0D5Qk00000UTrEtKAL","500Qk00000KHMa5IAH","TextPost","0054u000007oss5AAA","2025-01-08T21:04:53.000Z","<p>zoom meeting</p><p>client says:</p><p>-nothing that is affecting them right now</p><p>-&quot;team had some questions&quot;</p><p>-table they are reading for errors</p><p>-table not reflecting data accurately?</p><p>-just wants to review existing errors</p><p> </p><p>FS_OpenAccess_OpenResources</p><p>-table not updating</p><p>looks to be working</p><p>the issue is the FSAA scan is failing on some servers</p><p> </p><p>looking into INDIA FSAA system scans</p><p>access denied:</p><p>unable to login to this server</p><p> </p><p>same service account is used for all FS auditing</p><p>confirmed it has access via File Explorer but cannot RDP to the server</p><p>-NAS device</p><p> </p><p>need to confirm it has the necessary permissions</p><p> </p><p>Phoenix server:</p><p>FSAC is failing every 7th day</p><p>works the other 6</p><p>probably update/backup related</p><p> </p><p>FSAA is failing every time</p><p>need to review logs</p><p> </p><p>Hongkong is failing with warnings</p><p>-host is offline</p><p>job was still targeting the old server that is no longer there</p><p>updated host list with new server</p><p>should scan now</p><p>we&#39;ll see if we get any errors</p><p> </p><p> </p><p> </p><p> </p><p> </p>","","","","0054u000007oss5AAA","2025-01-08T21:04:53.000Z"
"0D5Qk00000UTtmmKAD","500Qk00000KHMa5IAH","TextPost","0054u000007oss5AAA","2025-01-08T21:05:20.000Z","Next Steps Updated: review logs
why is Phoenix failing?","","","","0054u000007oss5AAA","2025-01-08T21:05:20.000Z"
"0D5Qk00000UTtbnKAD","500Qk00000KHMa5IAH","TextPost","0054u000007oss5AAA","2025-01-08T21:10:12.000Z","What We've Learned Updated: find out if they have migrated SQL to a new box?

Phoenix, Hong Kong, and India servers not working

Hong kong:
targeting wrong server

Inda:
permissions

Phoenix:
need to check logs","","","","0054u000007oss5AAA","2025-01-08T21:10:12.000Z"
"0D5Qk00000UUDekKAH","500Qk00000KHMa5IAH","TextPost","0054u000007oss5AAA","2025-01-08T22:00:37.000Z","Next Steps Updated: review logs
why is Phoenix failing?

India
check is you can unc from proxy to target server","","","","0054u000007oss5AAA","2025-01-08T22:00:37.000Z"
"0D5Qk00000UyPGBKA3","500Qk00000KHMa5IAH","TextPost","0054u000007oss5AAA","2025-01-16T19:51:11.000Z","<p>Phoenix server:</p><p>client will try to disable crowd strike and attempt the scan again</p><p> </p><p>India server:</p><p>he will also confirm the service account is a local admin</p>","","","","0054u000007oss5AAA","2025-01-16T19:51:11.000Z"
