"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000UkGAAKA3","500Qk00000KY7zdIAD","TextPost","0054u000008ARZjAAO","2025-01-13T15:53:22.000Z","Description: We are experiencing problems updating the back-end and front-end. This is a recurring issue; previously, support had to assist us in performing the same operation manually. We need help updating this time and resolving the issue so autonomous updates can be done independently in the future.","","","","0054u000008ARZjAAO","2025-01-13T15:53:22.000Z"
"0D5Qk00000UlHB2KAN","500Qk00000KY7zdIAD","TextPost","005Qk000001nViBIAU","2025-01-13T20:13:28.000Z","What We've Learned Updated: the customer tried to update to 5941 which most likely was not available due to the drip release phase.","","","","005Qk000001nViBIAU","2025-01-13T20:13:28.000Z"
"0D5Qk00000UlIvAKAV","500Qk00000KY7zdIAD","TextPost","005Qk000001nViBIAU","2025-01-13T20:13:46.000Z","Next Steps Updated: waiting for the update to be available in GA and then update","","","","005Qk000001nViBIAU","2025-01-13T20:13:46.000Z"
"0D5Qk00000VP2zmKAD","500Qk00000KY7zdIAD","TextPost","005Qk000001nViBIAU","2025-01-23T18:07:21.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000001nViBIAU","2025-01-23T18:07:21.000Z"
"0D5Qk00000VP2zoKAD","500Qk00000KY7zdIAD","TextPost","005Qk000001nViBIAU","2025-01-23T18:07:21.000Z","Invitation updated. Attendees: Eduard Nut, Mariano Amigo, Edgard Huerta","","","","005Qk000001nViBIAU","2025-01-23T18:07:21.000Z"
"0D5Qk00000VP2znKAD","500Qk00000KY7zdIAD","TextPost","005Qk000001nViBIAU","2025-01-23T18:07:21.000Z","Invitation updated. Attendees: Eduard Nut","","","","005Qk000001nViBIAU","2025-01-23T18:07:21.000Z"
"0D5Qk00000VpoiqKAB","500Qk00000KY7zdIAD","TextPost","005Qk000001nViBIAU","2025-01-30T21:12:17.000Z","Invitation updated. Attendees: Eduard Nut, Mariano Amigo","","","","005Qk000001nViBIAU","2025-01-30T21:12:17.000Z"
"0D5Qk00000XOsz4KAD","500Qk00000KY7zdIAD","TextPost","005Qk000001nViBIAU","2025-02-20T21:00:12.000Z","What We've Learned Updated: upgraded the server to 5941 successfully but the security updates to not apply.
having a meeting tomorrow to fix that as we did not have ssh access during the call.","","","","005Qk000001nViBIAU","2025-02-20T21:00:12.000Z"
"0D5Qk00000XOflAKAT","500Qk00000KY7zdIAD","TextPost","005Qk000001nViBIAU","2025-02-20T21:00:32.000Z","Next Steps Updated: applying the backend fix for the security upgrade tomorrow and closing this one out","","","","005Qk000001nViBIAU","2025-02-20T21:00:32.000Z"
"0D5Qk00000XTTa4KAH","500Qk00000KY7zdIAD","TextPost","005Qk000001nViBIAU","2025-02-21T19:06:36.000Z","What We've Learned Updated: cleared the dpkg and the updates worked.","","","","005Qk000001nViBIAU","2025-02-21T19:06:36.000Z"
"0D5Qk00000XTB7yKAH","500Qk00000KY7zdIAD","TextPost","005Qk000001nViBIAU","2025-02-21T19:06:43.000Z","Next Steps Updated: closing the case","","","","005Qk000001nViBIAU","2025-02-21T19:06:43.000Z"
