"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000007w0jbIAA","500Qk00000D4vufIAB","NA Timezone","0054u000007ow49AAA","2024-07-15T15:01:02.000Z","2024-07-15T15:01:02.000Z","false","false"
"00aQk0000086jykIAA","500Qk00000D4vufIAB","duplicate ticket really of Ticket Number 00414859","00570000003KXurAAG","2024-07-23T20:10:33.000Z","2024-07-23T20:10:33.000Z","false","false"
"00aQk000008zkanIAA","500Qk00000D4vufIAB","Issue is tethered to Ticket Number   00418600","00570000003KXurAAG","2024-09-09T15:15:48.000Z","2024-09-09T15:15:48.000Z","false","false"
"00aQk000009GYjhIAG","500Qk00000D4vufIAB","Pending fix for Ticket Number 00418600  the FS related jobs are not all ending correctly to Free up the TempDB usage.","00570000003KXurAAG","2024-09-23T18:24:55.000Z","2024-09-23T18:24:55.000Z","false","false"
"00aQk000009LoHZIA0","500Qk00000D4vufIAB","Ticket Number  00418600 
I'm still waiting to hear back from our development team. I will reach out shortly with an update.

Thank you,

Tay Caliguiri","00570000003KXurAAG","2024-09-27T13:44:31.000Z","2024-09-27T13:44:31.000Z","false","false"
"00aQk000009UUJdIAO","500Qk00000D4vufIAB","Dev is still working on Ticket Number     00418600  requested new Proxy logs.

The FS jobs not ending cleanly preventing the Temp DB from being cleaned up.


----","00570000003KXurAAG","2024-10-04T20:30:25.000Z","2024-10-04T20:30:25.000Z","false","false"
"00aQk000009bn4bIAA","500Qk00000D4vufIAB","Dev is still working on Ticket Number     00418600  requested new Proxy logs.

The FS jobs not ending cleanly preventing the Temp DB from being cleaned up.","00570000003KXurAAG","2024-10-11T13:41:20.000Z","2024-10-11T13:41:20.000Z","false","false"
"00aQk000009gugYIAQ","500Qk00000D4vufIAB","Fresh logs were collected this morning for the failing File system job believed to be the root of this cases issues. 
Ticket Number     00418600","00570000003KXurAAG","2024-10-16T14:20:32.000Z","2024-10-16T14:20:32.000Z","false","false"
"00aQk000009mf3hIAA","500Qk00000D4vufIAB","Dev is still working on Ticket Number     00418600  requested new Proxy logs.

The FS jobs not ending cleanly preventing the Temp DB from being cleaned up.","00570000003KXurAAG","2024-10-21T18:37:32.000Z","2024-10-21T18:37:32.000Z","false","false"
"00aQk000009qEcnIAE","500Qk00000D4vufIAB","Case 00418600 T2 10/21: Development is still investigating the new logs we got last week.","00570000003KXurAAG","2024-10-24T13:20:49.000Z","2024-10-24T13:20:49.000Z","false","false"
