"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000d5CFKKA2","500Qk00000OfohQIAR","TextPost","0054u000008ARZjAAO","2025-05-01T15:34:23.000Z","Description: The DBA team has applied all the required permissions to all our production SQL servers so that we execute the scan. However only one of the our 4 production Netwrix  servers is working as expected with permission granted to the SQL servers.. The DBA has worked to resolve this issue but everything from our side looks ok and they have advised we work with you to determine the issue.","","","","0054u000008ARZjAAO","2025-05-01T15:34:23.000Z"
"0D5Qk00000d6HO0KAM","500Qk00000OfohQIAR","TextPost","0054u000007osjSAAQ","2025-05-01T18:43:15.000Z","<p>Looking at the customer&#39;s history, this is an EMEA base ticket. I already broke the SLA, but this ticket was opened with a high priority.</p>","","","","0054u000007osjSAAQ","2025-05-01T18:43:15.000Z"
"0D5Qk00000d6cusKAA","500Qk00000OfohQIAR","TextPost","0054u000006gpoAAAQ","2025-05-01T21:43:32.000Z","<p>To rule out any other issue perform UDL test.</p><p>As long as that is good. Make sure creds are applied to the job.</p><p>Verify host list and record for the host properly identify as a SQL server.</p><p>Then go into the SQL DC Query of permissions scan. Go to Filters and Click on the Connections button. </p><p>Verify connections are in place and test successfull.</p>","","","","0054u000006gpoAAAQ","2025-05-01T21:43:32.000Z"
"0D5Qk00000d9DUMKA2","500Qk00000OfohQIAR","TextPost","0054u000007ow49AAA","2025-05-02T14:31:59.000Z","Steps to Reproduce Updated: Scan SQL servers","","","","0054u000007ow49AAA","2025-05-02T14:31:59.000Z"
"0D5Qk00000d91vOKAQ","500Qk00000OfohQIAR","TextPost","0054u000007ow49AAA","2025-05-02T14:33:39.000Z","What We've Learned Updated: They have issues with their DBs on infrequent basis","","","","0054u000007ow49AAA","2025-05-02T14:33:39.000Z"
"0D5Qk00000d94WCKAY","500Qk00000OfohQIAR","TextPost","0054u000007ow49AAA","2025-05-02T14:36:29.000Z","Next Steps Updated: UDL test, basic test","","","","0054u000007ow49AAA","2025-05-02T14:36:29.000Z"
"0D5Qk00000dWnnOKAS","500Qk00000OfohQIAR","TextPost","0054u000007ow49AAA","2025-05-07T09:10:26.000Z","Invitation updated. Attendees: No attendees listed","","","","0054u000007ow49AAA","2025-05-07T09:10:26.000Z"
"0D5Qk00000dWnnPKAS","500Qk00000OfohQIAR","TextPost","0054u000007ow49AAA","2025-05-07T09:10:27.000Z","Invitation updated. Attendees: Ilya Kotov","","","","0054u000007ow49AAA","2025-05-07T09:10:27.000Z"
"0D5Qk00000dWnnQKAS","500Qk00000OfohQIAR","TextPost","0054u000007ow49AAA","2025-05-07T09:10:27.000Z","Invitation updated. Attendees: Ilya Kotov, Stealth Audit","","","","0054u000007ow49AAA","2025-05-07T09:10:27.000Z"
"0D5Qk00000dXXSnKAO","500Qk00000OfohQIAR","TextPost","0054u000007ow49AAA","2025-05-07T14:47:20.000Z","What We've Learned Updated: They have issues with their DBs on infrequent basis
Access denied on the servers","","","","0054u000007ow49AAA","2025-05-07T14:47:20.000Z"
"0D5Qk00000dXa9qKAC","500Qk00000OfohQIAR","TextPost","0054u000007ow49AAA","2025-05-07T14:47:37.000Z","Next Steps Updated: UDL test, basic test
re-entered passwords, awaiting results","","","","0054u000007ow49AAA","2025-05-07T14:47:37.000Z"
