"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000bpLtWKAU","500Qk00000O285LIAR","TextPost","0054u000008ARZjAAO","2025-04-14T14:29:23.000Z","Description: Need assistance with migrating Enterprise Auditor 11.6 to new set of Windows servers 2022.
- recap, we are getting cert errors on jobs using the file system proxy (which is dedicated to scanning for sensitive data on Netapp.  
- Working with support enigneer Ian Ranstrom, we don't know if the errors are related to either the in-place OS upgrade or upgrading from StealthAudit 11.5 to NEA 11.6","","","","0054u000008ARZjAAO","2025-04-14T14:29:23.000Z"
"0D5Qk00000bpLKwKAM","500Qk00000O285LIAR","TextPost","0054u000007osjSAAQ","2025-04-14T15:00:42.000Z","Invitation updated. Attendees: Frantz Baptiste","","","","0054u000007osjSAAQ","2025-04-14T15:00:42.000Z"
"0D5Qk00000bpLKvKAM","500Qk00000O285LIAR","TextPost","0054u000007osjSAAQ","2025-04-14T15:00:42.000Z","Invitation updated. Attendees: No attendees listed","","","","0054u000007osjSAAQ","2025-04-14T15:00:42.000Z"
"0D5Qk00000bpLKxKAM","500Qk00000O285LIAR","TextPost","0054u000007osjSAAQ","2025-04-14T15:00:43.000Z","Invitation updated. Attendees: Frantz Baptiste, Bradley Dickinson","","","","0054u000007osjSAAQ","2025-04-14T15:00:43.000Z"
"0D5Qk00000ccd4nKAA","500Qk00000O285LIAR","TextPost","0054u000007osjSAAQ","2025-04-25T18:16:15.000Z","<p>We installed the Netwrix Enterprise Auditor on the new server.</p><p>We migrate the data from the old server to the new server.</p><p>We installed the proxy and the Sensitive Data Add-on in the new proxy server.</p><p>Now, we are waiting for your DBA to run the SQL script to change the server&#39;s name in the database before we can launch the Enterprise Auditor application.</p><p> </p><p><b>Next meeting:</b></p><p>We will launch the application</p><p>Update the host list with the new proxy server</p><p>Install the AIC</p><p>The customer will recreate the schedule for jobs that were scheduled to run.</p>","","","","0054u000007osjSAAQ","2025-04-25T18:16:15.000Z"
"0D5Qk00000ccWrIKAU","500Qk00000O285LIAR","TextPost","0054u000007osjSAAQ","2025-04-25T18:16:41.000Z","Next Steps Updated: We will launch the application
Update the host list with the new proxy server
Install the AIC
The customer will recreate the schedule for jobs that were scheduled to run.","","","","0054u000007osjSAAQ","2025-04-25T18:16:41.000Z"
"0D5Qk00000ccmvSKAQ","500Qk00000O285LIAR","TextPost","0054u000007osjSAAQ","2025-04-25T18:18:57.000Z","What We've Learned Updated: Due to some issues caused by the in-place OS upgrade, the customer has to migrate from the old 2022 server to a new 2022 build server.","","","","0054u000007osjSAAQ","2025-04-25T18:18:57.000Z"
"0D5Qk00000dQCR8KAO","500Qk00000O285LIAR","TextPost","0054u000007osjSAAQ","2025-05-05T18:04:42.000Z","Next Steps Updated: We will install NAM
We will review the migration overall","","","","0054u000007osjSAAQ","2025-05-05T18:04:42.000Z"
"0D5Qk00000ebphUKAQ","500Qk00000O285LIAR","TextPost","0054u000007osjSAAQ","2025-05-19T23:12:14.000Z","Next Steps Updated: I will verify that the service account can communicate with the new proxy.
I will drop the data and rescan the file system.","","","","0054u000007osjSAAQ","2025-05-19T23:12:14.000Z"
"0D5Qk00000f8rFkKAI","500Qk00000O285LIAR","TextPost","0054u000007osjSAAQ","2025-05-23T20:36:02.000Z","<p>I am working with past migration on a different ticket</p>","","","","0054u000007osjSAAQ","2025-05-23T20:36:02.000Z"
"0D5Qk00000fU0PaKAK","500Qk00000O285LIAR","TextPost","0054u000007osjSAAQ","2025-05-27T19:05:43.000Z","<p>I will review this ticket with the customer tomorrow and close it.</p>","","","","0054u000007osjSAAQ","2025-05-27T19:05:43.000Z"
