"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000VUkGpKAL","500Qk00000L3YqfIAF","TextPost","0054u000008ATVZAA4","2025-01-24T22:51:46.000Z","Description: Customer is receiving a couple warnings in SPAC System Scan related to the following unknown event type (job logs attached):
SiteSensitivityLabelApplied","","","","0054u000008ATVZAA4","2025-01-24T22:51:46.000Z"
"0D5Qk00000VYqB6KAL","500Qk00000L3YqfIAF","TextPost","0054u000007ow49AAA","2025-01-26T21:31:37.000Z","What We've Learned Updated: USA Timezone","","","","0054u000007ow49AAA","2025-01-26T21:31:37.000Z"
"0D5Qk00000Vb0DiKAJ","500Qk00000L3YqfIAF","TextPost","0054u000007MiY9AAK","2025-01-27T16:05:14.000Z","<p>@Devon Anderson​ This has now been escalated</p>","","","","0054u000007MiY9AAK","2025-01-27T16:05:14.000Z"
"0D5Qk00000Yy8iJKAR","500Qk00000L3YqfIAF","TextPost","0054u000007MiY9AAK","2025-03-11T13:07:41.000Z","Next Steps Updated: P3 remains on the backlog awaiting dev bandwidth","","","","0054u000007MiY9AAK","2025-03-11T13:07:41.000Z"
"0D5Qk00000Z91SEKAZ","500Qk00000L3YqfIAF","TextPost","0054u000007MiY9AAK","2025-03-13T16:29:51.000Z","What We've Learned Updated: Unknown Event Type: SiteSensitivityLabelApplied","","","","0054u000007MiY9AAK","2025-03-13T16:29:51.000Z"
"0D5Qk00000aECD0KAO","500Qk00000L3YqfIAF","TextPost","0054u000007MiY9AAK","2025-03-24T17:36:04.000Z","Next Steps Updated: This was pulled on Friday (3/21). Dev is actively adding described activity and verifying the provided logs for any additional activity events that need mapping.","","","","0054u000007MiY9AAK","2025-03-24T17:36:04.000Z"
"0D5Qk00000aRnboKAC","500Qk00000L3YqfIAF","TextPost","0054u000007MiY9AAK","2025-03-27T19:41:18.000Z","Next Steps Updated: Hotfix completed. Frantz will deploy it after upgrading the customer to NEA v11.6.0.138 on 3/28.","","","","0054u000007MiY9AAK","2025-03-27T19:41:18.000Z"
"0D5Qk00000aUmT7KAK","500Qk00000L3YqfIAF","TextPost","0054u000007MiY9AAK","2025-03-28T16:43:49.000Z","Next Steps Updated: Once we have confirmation of a successful SPAC run with no more warnings related to the SiteSensitivityLabelApplied, we can close this ticket out.","","","","0054u000007MiY9AAK","2025-03-28T16:43:49.000Z"
"0D5Qk00000aUmT6KAK","500Qk00000L3YqfIAF","TextPost","0054u000007MiY9AAK","2025-03-28T16:43:49.000Z","What We've Learned Updated: Unknown Event Type: SiteSensitivityLabelApplied

Hotfix auditor-enterprise-hotfix-11.6.0.069.zip was deployed post-upgrade to NEA v11.6.0.138. SPAC is scheduled for daily run.","","","","0054u000007MiY9AAK","2025-03-28T16:43:49.000Z"
"0D5Qk00000alYHxKAM","500Qk00000L3YqfIAF","TextPost","0054u000008ATVZAA4","2025-03-31T19:33:49.000Z","<p>Confirmed no longer receiving warnings of skipped event type after hotfix. No longer an issue. Thanks.</p>","","","","0054u000008ATVZAA4","2025-03-31T19:33:49.000Z"
