"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000aUB1VKAW","500Qk00000NR01wIAD","TextPost","0054u000008ARZjAAO","2025-03-28T12:13:46.000Z","Description: Hi Team,

Customer has few queries on DC & also CAP policy creation","","","","0054u000008ARZjAAO","2025-03-28T12:13:46.000Z"
"0D5Qk00000aUboeKAC","500Qk00000NR01wIAD","TextPost","005Qk000001nVi2IAE","2025-03-28T14:26:45.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000001nVi2IAE","2025-03-28T14:26:45.000Z"
"0D5Qk00000aUbofKAC","500Qk00000NR01wIAD","TextPost","005Qk000001nVi2IAE","2025-03-28T14:26:46.000Z","Invitation updated. Attendees: Botond Biro","","","","005Qk000001nVi2IAE","2025-03-28T14:26:46.000Z"
"0D5Qk00000aUbogKAC","500Qk00000NR01wIAD","TextPost","005Qk000001nVi2IAE","2025-03-28T14:26:46.000Z","Invitation updated. Attendees: Botond Biro, Thanu shree","","","","005Qk000001nVi2IAE","2025-03-28T14:26:46.000Z"
"0D5Qk00000anQ4uKAE","500Qk00000NR01wIAD","TextPost","005Qk000001nVi2IAE","2025-04-01T09:27:20.000Z","What We've Learned Updated: - customer had some questions about device control and cap
- I answered their questions in the remote sessions","","","","005Qk000001nVi2IAE","2025-04-01T09:27:20.000Z"
"0D5Qk00000anJYAKA2","500Qk00000NR01wIAD","TextPost","005Qk000001nVi2IAE","2025-04-01T09:27:27.000Z","Next Steps Updated: waiting on closure","","","","005Qk000001nVi2IAE","2025-04-01T09:27:27.000Z"
"0D5Qk00000bPvdnKAC","500Qk00000NR01wIAD","TextPost","005Qk000001nViCIAU","2025-04-09T09:07:16.000Z","Invitation updated. Attendees: Andre Le Roux, Thanu shree","","","","005Qk000001nViCIAU","2025-04-09T09:07:16.000Z"
"0D5Qk00000bPvdmKAC","500Qk00000NR01wIAD","TextPost","005Qk000001nViCIAU","2025-04-09T09:07:16.000Z","Invitation updated. Attendees: Andre Le Roux","","","","005Qk000001nViCIAU","2025-04-09T09:07:16.000Z"
"0D5Qk00000bxfYeKAI","500Qk00000NR01wIAD","TextPost","005Qk000001nViCIAU","2025-04-16T16:59:50.000Z","Next Steps Updated: waiting on closure

2025.04.16:
A call was scheduled between the Account Executive and the customer regarding a ""Demo call"".  Sales to provide the Support team with an update on the outcome of the call that was held today.","","","","005Qk000001nViCIAU","2025-04-16T16:59:50.000Z"
"0D5Qk00000cSARZKA4","500Qk00000NR01wIAD","TextPost","005Qk000001nViCIAU","2025-04-23T08:29:02.000Z","Next Steps Updated: waiting on closure

2025.04.16:
A call was scheduled between the Account Executive and the customer regarding a ""Demo call"".  Sales to provide the Support team with an update on the outcome of the call that was held today.

2025.04.23
Account Executive Vlad Vladut provided an update to state that the pending action was for the partner to open a ticket regarding notifications that users receive.  Partner did open a separate ticket and confirmed that this ticket can be closed as it was not raised for any specific issue and we addressed a few points in the few calls that was scheduled since the beginning of this thread.","","","","005Qk000001nViCIAU","2025-04-23T08:29:02.000Z"
