"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000cadjGKAQ","500Qk00000ORSs4IAH","TextPost","0054u000008ARZjAAO","2025-04-25T08:45:23.000Z","Description: Hi team , 

When system remain idle for more than 10 minutes then internet stopped working sometimes. Meanwhile user is able to ping <a href='https://google.com' target='_blank'>google.com</a> through CMD. 

Please suggest some workout for the same.","","","","0054u000008ARZjAAO","2025-04-25T08:45:23.000Z"
"0D5Qk00000cbDuxKAE","500Qk00000ORSs4IAH","TextPost","005Qk000001nViFIAU","2025-04-25T12:29:32.000Z","What We've Learned Updated: IP of the server is 3.6.9.100","","","","005Qk000001nViFIAU","2025-04-25T12:29:32.000Z"
"0D5Qk00000cyuxgKAA","500Qk00000ORSs4IAH","TextPost","005Qk000001nViEIAU","2025-04-30T07:59:26.000Z","Next Steps Updated: 2025.04.30: Suggested to try this withou DPI on.","","","","005Qk000001nViEIAU","2025-04-30T07:59:26.000Z"
"0D5Qk00000cz1VpKAI","500Qk00000ORSs4IAH","TextPost","005Qk000001nViEIAU","2025-04-30T09:57:17.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000001nViEIAU","2025-04-30T09:57:17.000Z"
"0D5Qk00000cz1VqKAI","500Qk00000ORSs4IAH","TextPost","005Qk000001nViEIAU","2025-04-30T09:57:17.000Z","Invitation updated. Attendees: Andrei Pop","","","","005Qk000001nViEIAU","2025-04-30T09:57:17.000Z"
"0D5Qk00000cz1VrKAI","500Qk00000ORSs4IAH","TextPost","005Qk000001nViEIAU","2025-04-30T09:57:17.000Z","Invitation updated. Attendees: Andrei Pop, Vikas Kataria","","","","005Qk000001nViEIAU","2025-04-30T09:57:17.000Z"
"0D5Qk00000czRNEKA2","500Qk00000ORSs4IAH","TextPost","005Qk000001nViEIAU","2025-04-30T11:59:56.000Z","What We've Learned Updated: 2025.04.30: With DPI off the issue resolves.
IP of the server is 3.6.9.100","","","","005Qk000001nViEIAU","2025-04-30T11:59:56.000Z"
"0D5Qk00000czFuRKAU","500Qk00000ORSs4IAH","TextPost","005Qk000001nViEIAU","2025-04-30T12:00:51.000Z","Next Steps Updated: 2025.04.30: Added Steaslthy DPI and Bypass options.","","","","005Qk000001nViEIAU","2025-04-30T12:00:51.000Z"
"0D5Qk00000czS4mKAE","500Qk00000ORSs4IAH","TextPost","005Qk000001nViEIAU","2025-04-30T12:05:57.000Z","What We've Learned Updated: IP of the server is 3.6.9.100","","","","005Qk000001nViEIAU","2025-04-30T12:05:57.000Z"
"0D5Qk00000czS4nKAE","500Qk00000ORSs4IAH","TextPost","005Qk000001nViEIAU","2025-04-30T12:05:57.000Z","Next Steps Updated: 2025.04.30: Suggested to try this withou DPI on.
The customer will test it and revert to us.","","","","005Qk000001nViEIAU","2025-04-30T12:05:57.000Z"
