"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000cQmGFKA0","500Qk00000OLRVdIAP","TextPost","0054u000008ARZjAAO","2025-04-22T22:35:18.000Z","Description: Please, we are experiencing an issue with our endpoint. At the moment, it is not working, and I cannot access the admin panel. 
I believe the issue might be related to the VM, but I need you to check and confirm the problem.
What do you need to connect in our VM ?","","","","0054u000008ARZjAAO","2025-04-22T22:35:18.000Z"
"0D5Qk00000cUKR2KAO","500Qk00000OLRVdIAP","TextPost","005Qk000002lX5pIAE","2025-04-23T19:51:00.000Z","Next Steps Updated: Checking internally to get back to customer with whether the next release is Ubuntu 24 or if it will continue to be Ubuntu 22","","","","005Qk000002lX5pIAE","2025-04-23T19:51:00.000Z"
"0D5Qk00000cUKR1KAO","500Qk00000OLRVdIAP","TextPost","005Qk000002lX5pIAE","2025-04-23T19:51:00.000Z","What We've Learned Updated: 4/23/2025

- Joined remote session
- Customer able to access the EPP UI without issue
- Verified disk space on system and EPP server both at 12G/88G respectively
- Verified the EPP version is at 5.9.4.0
- Customer inquired about a migration to latest version
- Monitoring agent in Azure displaying an issue, screen shot included
- Customer will wait until Ubuntu 24 to begin to upgrade at targeted date end of July 2025

* Will need to ask internally (Team Solutions Engineers Group): 

Could you confirm whether the upcoming appliance VM will be based on Ubuntu 24, or will it continue using Ubuntu 22?","","","","005Qk000002lX5pIAE","2025-04-23T19:51:00.000Z"
"0D5Qk00000cYiFiKAK","500Qk00000OLRVdIAP","TextPost","005Qk000002lX5pIAE","2025-04-24T19:27:38.000Z","What We've Learned Updated: 4/24/2025

- Conducted an internal review to determine the Ubuntu version for the upcoming release on EPP Hosted Solution Channel.
- Engaged with the technical team for confirmation regarding the operating system.
- Sent customer email confirming that Ubuntu 22 will be included on the next VM appliance release.

4/23/2025

- Joined remote session
- Customer able to access the EPP UI without issue
- Verified disk space on system and EPP server both at 12G/88G respectively
- Verified the EPP version is at 5.9.4.0
- Customer inquired about a migration to latest version
- Monitoring agent in Azure displaying an issue, screen shot included
- Customer will wait until Ubuntu 24 to begin to upgrade at targeted date end of July 2025

* Will need to ask internally (Team Solutions Engineers Group): 

Could you confirm whether the upcoming appliance VM will be based on Ubuntu 24, or will it continue using Ubuntu 22?","","","","005Qk000002lX5pIAE","2025-04-24T19:27:38.000Z"
"0D5Qk00000cYiFjKAK","500Qk00000OLRVdIAP","TextPost","005Qk000002lX5pIAE","2025-04-24T19:27:38.000Z","Next Steps Updated: Awaiting customer response","","","","005Qk000002lX5pIAE","2025-04-24T19:27:38.000Z"
"0D5Qk00000eGrmGKAS","500Qk00000OLRVdIAP","TextPost","005Qk000002lX5pIAE","2025-05-16T21:32:00.000Z","What We've Learned Updated: 5/16/2025

- Sent customer follow up email 
4/24/2025

- Conducted an internal review to determine the Ubuntu version for the upcoming release on EPP Hosted Solution Channel.
- Engaged with the technical team for confirmation regarding the operating system.
- Sent customer email confirming that Ubuntu 22 will be included on the next VM appliance release.

4/23/2025

- Joined remote session
- Customer able to access the EPP UI without issue
- Verified disk space on system and EPP server both at 12G/88G respectively
- Verified the EPP version is at 5.9.4.0
- Customer inquired about a migration to latest version
- Monitoring agent in Azure displaying an issue, screen shot included
- Customer will wait until Ubuntu 24 to begin to upgrade at targeted date end of July 2025

* Will need to ask internally (Team Solutions Engineers Group): 

Could you confirm whether the upcoming appliance VM will be based on Ubuntu 24, or will it continue using Ubuntu 22?","","","","005Qk000002lX5pIAE","2025-05-16T21:32:00.000Z"
"0D5Qk00000eZnibKAC","500Qk00000OLRVdIAP","TextPost","005Qk000002lX5pIAE","2025-05-19T14:04:39.000Z","Next Steps Updated: Awaiting meeting","","","","005Qk000002lX5pIAE","2025-05-19T14:04:39.000Z"
"0D5Qk00000eZniaKAC","500Qk00000OLRVdIAP","TextPost","005Qk000002lX5pIAE","2025-05-19T14:04:39.000Z","What We've Learned Updated: 5/19.2025

- Customer wishes to upgrade to the latest EPP version 5942.
- Scheduled upgrade on May 23rd at 2 PM CST

5/16/2025

- Sent customer follow up email 
4/24/2025

- Conducted an internal review to determine the Ubuntu version for the upcoming release on EPP Hosted Solution Channel.
- Engaged with the technical team for confirmation regarding the operating system.
- Sent customer email confirming that Ubuntu 22 will be included on the next VM appliance release.

4/23/2025

- Joined remote session
- Customer able to access the EPP UI without issue
- Verified disk space on system and EPP server both at 12G/88G respectively
- Verified the EPP version is at 5.9.4.0
- Customer inquired about a migration to latest version
- Monitoring agent in Azure displaying an issue, screen shot included
- Customer will wait until Ubuntu 24 to begin to upgrade at targeted date end of July 2025

* Will need to ask internally (Team Solutions Engineers Group): 

Could you confirm whether the upcoming appliance VM will be based on Ubuntu 24, or will it continue using Ubuntu 22?","","","","005Qk000002lX5pIAE","2025-05-19T14:04:39.000Z"
"0D5Qk00000f8Z37KAE","500Qk00000OLRVdIAP","TextPost","005Qk000002lX5pIAE","2025-05-23T19:44:42.000Z","Next Steps Updated: Closing case as per customer request","","","","005Qk000002lX5pIAE","2025-05-23T19:44:42.000Z"
"0D5Qk00000f8Z36KAE","500Qk00000OLRVdIAP","TextPost","005Qk000002lX5pIAE","2025-05-23T19:44:42.000Z","What We've Learned Updated: 5/23/2025
- Joined remote session
- Customer reported issue with VM containing EPP.
- Restarted VM
- Customer able to access the EPP console without issue
- Verified that customer created a snapshot
- Upgraded EPP Appliance version to EPP 5942
- Customer wishes to upgrade Ubuntu version from 18.04 to latest version
- Opened new ticket towards Migration and server upgrade : 00446163 - Migration and Server Upgrade
- Customer has given me permission to close case


5/19.2025

- Customer wishes to upgrade to the latest EPP version 5942.
- Scheduled upgrade on May 23rd at 2 PM CST

5/16/2025

- Sent customer follow up email 
4/24/2025

- Conducted an internal review to determine the Ubuntu version for the upcoming release on EPP Hosted Solution Channel.
- Engaged with the technical team for confirmation regarding the operating system.
- Sent customer email confirming that Ubuntu 22 will be included on the next VM appliance release.

4/23/2025

- Joined remote session
- Customer able to access the EPP UI without issue
- Verified disk space on system and EPP server both at 12G/88G respectively
- Verified the EPP version is at 5.9.4.0
- Customer inquired about a migration to latest version
- Monitoring agent in Azure displaying an issue, screen shot included
- Customer will wait until Ubuntu 24 to begin to upgrade at targeted date end of July 2025

* Will need to ask internally (Team Solutions Engineers Group): 

Could you confirm whether the upcoming appliance VM will be based on Ubuntu 24, or will it continue using Ubuntu 22?","","","","005Qk000002lX5pIAE","2025-05-23T19:44:42.000Z"
