"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000b08f1KAA","500Qk00000NgG1XIAV","TextPost","0054u000008ARZjAAO","2025-04-04T05:57:23.000Z","Description: Dear Team,

We have created CAP policies to block file upload from all the extension, but google drive file upload is not blocking in chrome, other things are working fine.

Kindly do the needful on priority basis team.

Regards,
Sai","","","","0054u000008ARZjAAO","2025-04-04T05:57:23.000Z"
"0D5Qk00000b0J8oKAE","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-04-04T06:46:22.000Z","What We've Learned Updated: Files sent to google drive are not blocked.","","","","005Qk000001nViEIAU","2025-04-04T06:46:22.000Z"
"0D5Qk00000b0KG0KAM","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-04-04T06:46:30.000Z","Next Steps Updated: Asked for logs.","","","","005Qk000001nViEIAU","2025-04-04T06:46:30.000Z"
"0D5Qk00000b13WQKAY","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-04-04T11:12:26.000Z","What We've Learned Updated: Logs show the connection to * google is whitelisted.
---
Files sent to google drive are not blocked.","","","","005Qk000001nViEIAU","2025-04-04T11:12:26.000Z"
"0D5Qk00000b10LoKAI","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-04-04T11:12:40.000Z","Next Steps Updated: Asked custoemr to check and remove whitelists.","","","","005Qk000001nViEIAU","2025-04-04T11:12:40.000Z"
"0D5Qk00000bHWSuKAO","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-04-07T04:55:11.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000001nViEIAU","2025-04-07T04:55:11.000Z"
"0D5Qk00000bHWSvKAO","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-04-07T04:55:11.000Z","Invitation updated. Attendees: Andrei Pop","","","","005Qk000001nViEIAU","2025-04-07T04:55:11.000Z"
"0D5Qk00000bHWSwKAO","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-04-07T04:55:12.000Z","Invitation updated. Attendees: Andrei Pop, Sai Nachiappan","","","","005Qk000001nViEIAU","2025-04-07T04:55:12.000Z"
"0D5Qk00000bHxeMKAS","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-04-07T07:50:47.000Z","Next Steps Updated: collected logs, customer to send them","","","","005Qk000001nViEIAU","2025-04-07T07:50:47.000Z"
"0D5Qk00000bL9GDKA0","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-04-08T05:11:22.000Z","What We've Learned Updated: Logs show the connection to * google is ignored.
---
Files sent to google drive are not blocked.","","","","005Qk000001nViEIAU","2025-04-08T05:11:22.000Z"
"0D5Qk00000bLOtIKAW","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-04-08T06:06:49.000Z","Next Steps Updated: reproduced this on the support machine
will create ADO
-----------
collected logs, customer to send them","","","","005Qk000001nViEIAU","2025-04-08T06:06:49.000Z"
"0D5Qk00000bzOKBKA2","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-04-17T04:27:41.000Z","Next Steps Updated: 2025.0417: Waiting on the customer to collect logs and make a video.
-----------
collected logs, customer to send them","","","","005Qk000001nViEIAU","2025-04-17T04:27:41.000Z"
"0D5Qk00000c0EqJKAU","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-04-17T08:35:39.000Z","Next Steps Updated: 2025.0417: Created ADO
-----------
collected logs, customer to send them","","","","005Qk000001nViEIAU","2025-04-17T08:35:39.000Z"
"0D5Qk00000es0hpKAA","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-05-21T04:05:55.000Z","Next Steps Updated: 2025.05.21: Asked the customer to remove ""*clients6.google.com*""  from the allowlist.
2025.0417: Created ADO
-----------
collected logs, customer to send them","","","","005Qk000001nViEIAU","2025-05-21T04:05:55.000Z"
"0D5Qk00000es0hoKAA","500Qk00000NgG1XIAV","TextPost","005Qk000001nViEIAU","2025-05-21T04:05:55.000Z","What We've Learned Updated: 2025.05.21: Google drive is allowed du to ""*clients6.google.com*""  in the allowlist.
Logs show the connection to * google is ignored.
---
Files sent to google drive are not blocked.","","","","005Qk000001nViEIAU","2025-05-21T04:05:55.000Z"
