"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000009qKruIAE","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the Following Fields have been updated: 
Account ACV has been changed to 40709.20.","005Qk000001nVi2IAE","2024-10-24T15:08:47.000Z","2024-10-24T15:08:47.000Z","false","false"
"00aQk000009qJlHIAU","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the Following Fields have been updated: 
Account ACV has been changed to 20354.60.","005Qk000001nVi2IAE","2024-10-24T15:08:49.000Z","2024-10-24T15:08:49.000Z","false","false"
"00aQk000009tjFRIAY","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-10-28T10:44:58.000Z","2024-10-28T10:44:58.000Z","false","false"
"00aQk000009tjFTIAY","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the new comment has been added: Alexandra-Alina Pascalau:

@WaitingOnEngineer

Hi,
Android Smartphone (Media Transfer Protocol) is a device type that is available only for MacOS computers.

[DevOps CommentId:11118459]","0054u000006gtWUAAY","2024-10-28T10:44:59.000Z","2024-10-28T10:44:59.000Z","false","false"
"00aQk000009uERJIA2","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nVi2IAE","2024-10-28T17:13:05.000Z","2024-10-28T17:13:05.000Z","false","false"
"00aQk000009wgplIAA","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the Following Fields have been updated: 
Status has been changed to Closed - Resolved.","005Qk000001nVi2IAE","2024-10-30T14:48:47.000Z","2024-10-30T14:48:47.000Z","false","false"
"00aQk000009wgpnIAA","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the Following Fields have been updated: 
Account ACV has been changed to 40709.20.","005Qk000001nVi2IAE","2024-10-30T14:48:49.000Z","2024-10-30T14:48:49.000Z","false","false"
"00aQk000009wkmrIAA","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the Following Fields have been updated: 
Account ACV has been changed to 20354.60.","005Qk000001nVi2IAE","2024-10-30T14:48:56.000Z","2024-10-30T14:48:56.000Z","false","false"
"00aQk00000A2ZvBIAV","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-11-05T05:03:11.000Z","2024-11-05T05:03:11.000Z","false","false"
"00aQk00000A2ZvDIAV","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-10-28 10:45 UTC and no response has been detected.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11168448]","0054u000006gtWUAAY","2024-11-05T05:03:12.000Z","2024-11-05T05:03:12.000Z","false","false"
"00aQk00000A2zCvIAJ","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the Following Fields have been updated: 
Status has been changed to Closed - Resolved.","005Qk000001nVi2IAE","2024-11-05T13:52:30.000Z","2024-11-05T13:52:30.000Z","false","false"
"00aQk00000A2zCxIAJ","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the Following Fields have been updated: 
Account ACV has been changed to 40709.20.","005Qk000001nVi2IAE","2024-11-05T13:52:33.000Z","2024-11-05T13:52:33.000Z","false","false"
"00aQk00000A2ybqIAB","500Qk00000HQ8ctIAD","On Escalation Ticket # 00424975 the Following Fields have been updated: 
Account ACV has been changed to 20354.60.","005Qk000001nVi2IAE","2024-11-05T13:52:39.000Z","2024-11-05T13:52:39.000Z","false","false"
