"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk00000AYxeDIAT","500Qk00000J57AoIAJ","On Escalation Ticket # 00428793 the Following Fields have been updated: 
Account ACV has been changed to 912748.45000000000410.","005Qk000001nViHIAU","2024-12-04T12:53:49.000Z","2024-12-04T12:53:49.000Z","false","false"
"00aQk00000AYxfpIAD","500Qk00000J57AoIAJ","On Escalation Ticket # 00428793 the Following Fields have been updated: 
Account ACV has been changed to 456374.22500000000205.","005Qk000001nViHIAU","2024-12-04T12:53:51.000Z","2024-12-04T12:53:51.000Z","false","false"
"00aQk00000AZ5S5IAL","500Qk00000J57AoIAJ","On Escalation Ticket # 00428793 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-04T14:59:17.000Z","2024-12-04T14:59:17.000Z","false","false"
"00aQk00000AZ5S7IAL","500Qk00000J57AoIAJ","On Escalation Ticket # 00428793 the new comment has been added: Krzysztof Staszalek:

Our PII pattern for UK Bank Account is:
- 6 digits (might be grouped 2 by 2 with space between the groups), a space or a tab optionally and 8 digits after (e.g. 12 24 81 06858072);

@WaitingOnEngineer @Cecilia-Maria Iepure @Cristian-Alexandru Halmajan

[DevOps CommentId:11336433]","0054u000006gtWUAAY","2024-12-04T14:59:18.000Z","2024-12-04T14:59:18.000Z","false","false"
"00aQk00000AZ5qHIAT","500Qk00000J57AoIAJ","On Escalation Ticket # 00428793 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViHIAU","2024-12-04T15:02:52.000Z","2024-12-04T15:02:52.000Z","false","false"
"00aQk00000AZ13WIAT","500Qk00000J57AoIAJ","On Escalation Ticket # 00428793 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-04T15:03:04.000Z","2024-12-04T15:03:04.000Z","false","false"
"00aQk00000Abd7vIAB","500Qk00000J57AoIAJ","On Escalation Ticket # 00428793 the new comment has been added: The customer tried with the suggested format but the EPP Client was not blocking the files.
I attached a set of logs and the samples used by the customer","005Qk000001nViHIAU","2024-12-06T14:17:05.000Z","2024-12-06T14:17:05.000Z","false","false"
"00aQk00000Abh1pIAB","500Qk00000J57AoIAJ","On Escalation Ticket # 00428793 the Following Fields have been updated: 
Product Version has been changed to NONE.
Status has been changed to Awaiting R&D.","005Qk000001nViHIAU","2024-12-06T14:17:15.000Z","2024-12-06T14:17:15.000Z","false","false"
"00aQk00000AlkUfIAJ","500Qk00000J57AoIAJ","On Escalation Ticket # 00428793 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-16T13:25:04.000Z","2024-12-16T13:25:04.000Z","false","false"
"00aQk00000AlkUhIAJ","500Qk00000J57AoIAJ","On Escalation Ticket # 00428793 the new comment has been added: Mara Dobse:

The pattern used for testing is in the wrong order. The sort code has to be first and should be followed by the actual account number. Some of the examples provided are valid and are detected if the the order of the digit groups is switched.
The correct formats are:
6D + 8D (e.g. 123456 12345678)
6D with space + 8D (e.g. 12 34 56 12345678)
6D with dash + 8D (e.g. 12-34-56 12345678)
If after using this formats the issue still occurs please collect and upload logs, not only the files used for testing. Also please make sure the customer uses real data for the test scenarios as this algorithm has a strong detection rule and rarely will detect false positives, especially for sort codes. Thank you.


@WaitingOnEngineer

[DevOps CommentId:11414878]","0054u000006gtWUAAY","2024-12-16T13:25:05.000Z","2024-12-16T13:25:05.000Z","false","false"
