"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000VaF5bKAF","500Qk00000L73znIAB","TextPost","0054u000008ARZjAAO","2025-01-27T13:45:46.000Z","Description: Hi Team,

Good day!!

During the deployment of Pingcastle Enterprise on one of our domains we are getting a ""Login failed (The operation has timed out) "" error (while running the Scheduled task) after following all the steps that are mentioned in the document.

Note:: We are using the ""3.2.0.0""  version for the above domain.

we require your immediate attention in this issue.

Please find the attached screenshot for your reference","","","","0054u000008ARZjAAO","2025-01-27T13:45:46.000Z"
"0D5Qk00000VaQotKAF","500Qk00000L73znIAB","TextPost","005Qk000003YNwXIAW","2025-01-27T14:03:15.000Z","Next Steps Updated: spoke to client and proposed remote session","","","","005Qk000003YNwXIAW","2025-01-27T14:03:15.000Z"
"0D5Qk00000VaIF5KAN","500Qk00000L73znIAB","TextPost","005Qk000003YNwXIAW","2025-01-27T14:03:37.000Z","What We've Learned Updated: while trying to access via API the login is failed, needs further investigation","","","","005Qk000003YNwXIAW","2025-01-27T14:03:37.000Z"
"0D5Qk00000VaWVTKA3","500Qk00000L73znIAB","TextPost","005Qk000003YNwXIAW","2025-01-27T14:05:26.000Z","Steps to Reproduce Updated: cmd run in PS : F:PingCastleEnterprisepingcastle.exe --healtcheck --level Full --api-endpoint XXXXXX --log --encrypt --api-key XXXX
Error for version 3.2.0
Login Failed (The operation has timed out.)","","","","005Qk000003YNwXIAW","2025-01-27T14:05:26.000Z"
"0D5Qk00000VaSxNKAV","500Qk00000L73znIAB","TextPost","005Qk000003YNwXIAW","2025-01-27T14:44:36.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000003YNwXIAW","2025-01-27T14:44:36.000Z"
"0D5Qk00000VaSxOKAV","500Qk00000L73znIAB","TextPost","005Qk000003YNwXIAW","2025-01-27T14:44:37.000Z","Invitation updated. Attendees: Iulia Apatachioaei","","","","005Qk000003YNwXIAW","2025-01-27T14:44:37.000Z"
"0D5Qk00000VaSxPKAV","500Qk00000L73znIAB","TextPost","005Qk000003YNwXIAW","2025-01-27T14:44:37.000Z","Invitation updated. Attendees: Iulia Apatachioaei, Korepu Akhil Kumar","","","","005Qk000003YNwXIAW","2025-01-27T14:44:37.000Z"
"0D5Qk00000VdugjKAB","500Qk00000L73znIAB","TextPost","005Qk000003YNwXIAW","2025-01-28T10:57:23.000Z","What We've Learned Updated: while trying to access via API the login is failed, needs further investigation
meeting notes :
API Connection Test:
Tested the API connection using PowerShell.

API Communication:
Reviewed how the API communicates between their servers.

Certificates Validation:
Checked certificates and verified their validity.

SSO Check:
Checked the Single Sign-On (SSO) setup. All signs point to SSO authentication issues.

Firewall Assessment:
Determined that the issue is not related to a firewall.

Connection Testing:
Tested the connection over HTTP, and the results were successful with IIS logs showing all 200 status codes.

HTTPS Issue:
Encountered issues with HTTPS—received an RST response. It is unclear whether this is caused by the load balancer on the enterprise server.","","","","005Qk000003YNwXIAW","2025-01-28T10:57:23.000Z"
"0D5Qk00000VdyylKAB","500Qk00000L73znIAB","TextPost","005Qk000003YNwXIAW","2025-01-28T10:57:43.000Z","Next Steps Updated: spoke to client and proposed remote sessionAPI URL:
URL being tested: https://pce.itaz-g-100.eurofinseu.com/api/release
Next Steps:
Awaiting approval for the change request to modify the API path.","","","","005Qk000003YNwXIAW","2025-01-28T10:57:43.000Z"
"0D5Qk00000VijkOKAR","500Qk00000L73znIAB","TextPost","005Qk000003YNwXIAW","2025-01-29T12:46:44.000Z","What We've Learned Updated: while trying to access via API the login is failed, needs further investigation
meeting notes :
/Tested the API connection using PowerShell.
/Reviewed how the API communicates between their servers.
/Checked certificates and verified their validity.
/Checked the Single Sign-On (SSO) setup. All signs point to SSO authentication issues.
/Determined that the issue is not related to a firewall.
/Tested the connection over HTTP, and the results were successful with IIS logs showing all 200 status codes.
/Encountered issues with HTTPS—received an RST response. It is unclear whether this is caused by the load balancer on the enterprise server.
/Checked Event Viewer for .NET runtime and application stop errors related to login failures.
/Troubleshot PowerShell file not working, found that both PowerShell and application are using the same version of .NET, causing compatibility issues.
/Checked new rule for API on AWS for /swagger
/Determined that the issue is with the second rule of the load balancer and it goes through SSO process
/Determined that the CPU is not allocated correctly to services running ( for example monitoring tools )","","","","005Qk000003YNwXIAW","2025-01-29T12:46:44.000Z"
