"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000PYqmIKAT","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2024-10-28T14:42:52.000Z","<p>Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 10/21: Development is still investigating</p>","","","","00570000003KXurAAG","2024-10-28T14:42:52.000Z"
"0D5Qk00000PnKRHKA3","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2024-10-31T13:46:01.000Z","<p>Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 10/21: Development is still investigating</p><p> </p><p>On Escalation Ticket # 00421065 the new comment has been added: All necessary logs and screenshots can be found in the &quot;10162024&quot; folder in SharePoint</p>","","","","00570000003KXurAAG","2024-10-31T13:46:01.000Z"
"0D5Qk00000Q1wJyKAJ","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2024-11-04T14:39:43.000Z","<p>Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 10/21: Development is still investigating</p><p> </p><p>No update from R&amp;D at this time.</p>","","","","00570000003KXurAAG","2024-11-04T14:39:43.000Z"
"0D5Qk00000Q2BfFKAV","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2024-11-04T14:42:16.000Z","What We've Learned Updated: No clear reason for the SEEK scans only to not complete when FSAA and FACS jobs via the same Proxy are working for the the multiple host/Job groups.","","","","00570000003KXurAAG","2024-11-04T14:42:16.000Z"
"0D5Qk00000Q24yqKAB","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2024-11-04T14:42:37.000Z","Next Steps Updated: Awaiting R&D at this time.","","","","00570000003KXurAAG","2024-11-04T14:42:37.000Z"
"0D5Qk00000QO19dKAD","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2024-11-08T15:55:19.000Z","<p>Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 10/21: Development is still investigating</p><p>R&amp;D Ethan Israel:</p><p>Unfortunately we have a large volume of P1s and P2s that came in in the last week so dev is working through that list and hasn&#39;t gotten to this one yet. We&#39;ll provide further details/next steps once dev is able to triage this one. </p>","","","","00570000003KXurAAG","2024-11-08T15:55:19.000Z"
"0D5Qk00000QlyYXKAZ","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2024-11-13T14:36:44.000Z","<p>Still no R&amp;D update on Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 10/21: Development is still investigating</p>","","","","00570000003KXurAAG","2024-11-13T14:36:44.000Z"
"0D5Qk00000ROdc7KAD","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2024-11-20T21:18:04.000Z","<p>Still no R&amp;D update on Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 10/21: Development is still investigating</p>","","","","00570000003KXurAAG","2024-11-20T21:18:04.000Z"
"0D5Qk00000RnApBKAV","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2024-11-26T15:28:11.000Z","<p>Still no R&amp;D update on Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 10/21: Development is still investigating</p>","","","","00570000003KXurAAG","2024-11-26T15:28:11.000Z"
"0D5Qk00000SPvh3KAD","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2024-12-06T16:06:53.000Z","<p>November 26, 2024 at 11:45 AM</p><p> </p><p>Chris Brooks: This one is on a much smaller list of items left for dev to triage to give more details or potential next steps.</p>","","","","00570000003KXurAAG","2024-12-06T16:06:53.000Z"
"0D5Qk00000SxJjLKAV","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2024-12-13T16:25:30.000Z","<p>No R&amp;D update on Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 Post 11/26</p>","","","","00570000003KXurAAG","2024-12-13T16:25:30.000Z"
"0D5Qk00000TZCsRKAX","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2024-12-23T14:33:05.000Z","<p>Awaiting  R&amp;D update on Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 Post 11/26</p>","","","","00570000003KXurAAG","2024-12-23T14:33:05.000Z"
"0D5Qk00000UIioWKAT","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2025-01-06T13:58:34.000Z","<p>Awaiting R&amp;D update on Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 Post 11/26</p>","","","","00570000003KXurAAG","2025-01-06T13:58:34.000Z"
"0D5Qk00000UbP0OKAV","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2025-01-10T14:24:14.000Z","<p>Awaiting R&amp;D update on Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 Post 11/26</p>","","","","00570000003KXurAAG","2025-01-10T14:24:14.000Z"
"0D5Qk00000V1TeVKAV","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2025-01-17T14:33:17.000Z","<p>Awaiting R&amp;D update on Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 Post 11/26</p>","","","","00570000003KXurAAG","2025-01-17T14:33:17.000Z"
"0D5Qk00000VSfmWKAT","500Qk00000D4vufIAB","TextPost","00570000003KXurAAG","2025-01-24T14:50:47.000Z","<p>Awaiting R&amp;D update on Case <a href=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" alt=""https://nwxcorp.lightning.force.com/lightning/r/500Qk00000EgbBCIAZ/view"" target=""_blank"">00418600</a> T2 Post 11/26</p>","","","","00570000003KXurAAG","2025-01-24T14:50:47.000Z"
