"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000PRz2eKAD","500Qk00000HVKyLIAX","TextPost","0054u000006gpoAAAQ","2024-10-26T00:15:40.000Z","Description: Noticed for example excel files that are password protected are skipped in sdd scans without any warning. We would expect to see a message acknowledging the skip. I scanned the Debug log expecting to see either a file name or file id of sorts to denote that it was skipped but got nothing.

Previously in 11.0 or potentially 11.5 I have results showing that it use to have a warning for those files.","","","","0054u000006gpoAAAQ","2024-10-26T00:15:40.000Z"
"0D5Qk00000RRtHtKAL","500Qk00000HVKyLIAX","TextPost","0054u000006gpoAAAQ","2024-11-21T15:33:37.000Z","Next Steps Updated: Waiting on development to weigh in on logs.","","","","0054u000006gpoAAAQ","2024-11-21T15:33:37.000Z"
"0D5Qk00000RRtHsKAL","500Qk00000HVKyLIAX","TextPost","0054u000006gpoAAAQ","2024-11-21T15:33:37.000Z","What We've Learned Updated: Escalated as the scans don't show the errors / warning on when it skips various items. 
It appears to log in the extractor logs but not the job log.","","","","0054u000006gpoAAAQ","2024-11-21T15:33:37.000Z"
"0D5Qk00000TCaYgKAL","500Qk00000HVKyLIAX","TextPost","0054u000007MiY9AAK","2024-12-17T18:55:23.000Z","<p>#EAM -- TRC</p><p>Current Status: Awaiting R&amp;D</p><p>Last Update: HF applied and the job now creates a message regarding locked files that are unable to be scanned. However, it looks like the path provided is incorrect (gives SDDTemp location instead of original file location) so R&amp;D is being re-engaged to correct.</p><p> </p><p>Additional Info/Follow Up: Customer is unhappy this issue was not caught in QA</p>","","","","0054u000007MiY9AAK","2024-12-17T18:55:23.000Z"
"0D5Qk00000TN82yKAD","500Qk00000HVKyLIAX","TextPost","0054u000006gpoAAAQ","2024-12-19T21:27:04.000Z","What We've Learned Updated: Escalated as the scans don't show the errors / warning on when it skips various items. 
It appears to log in the extractor logs but not the job log.

Development released a hotfix. We applied it.
It does work however it reports the SDD Temp folder path rather than the original file path, which isn't what the customer wants.

Internal discussions determined customer is frustrated. 
Next steps for us. 
1. Dev to Correct the path outputted.
2. William and customer to determine all files that are skipped for Dev to make sure that each file is marked as skipped in the warnings / log so customer can identify them.","","","","0054u000006gpoAAAQ","2024-12-19T21:27:04.000Z"
"0D5Qk00000TNY8hKAH","500Qk00000HVKyLIAX","TextPost","0054u000006gpoAAAQ","2024-12-19T22:35:32.000Z","Next Steps Updated: Waiting on development to provide second Hotfix. Potentially available 12/20","","","","0054u000006gpoAAAQ","2024-12-19T22:35:32.000Z"
"0D5Qk00000TNb4sKAD","500Qk00000HVKyLIAX","TextPost","0054u000006gpoAAAQ","2024-12-19T22:36:02.000Z","What We've Learned Updated: Escalated as the scans don't show the errors / warning on when it skips various items. 
It appears to log in the extractor logs but not the job log.

Development released a hotfix. We applied it.
It does work however it reports the SDD Temp folder path rather than the original file path, which isn't what the customer wants.

Internal discussions determined customer is frustrated. 
Next steps for us. 
1. Dev to Correct the path outputted.
2. William and customer to determine all files that are skipped for Dev to make sure that each file is marked as skipped in the warnings / log so customer can identify them. 

Dev took feedback from our chat and fast tracked a second hotfix for all files.","","","","0054u000006gpoAAAQ","2024-12-19T22:36:02.000Z"
"0D5Qk00000TQEoOKAX","500Qk00000HVKyLIAX","TextPost","0054u000006gpoAAAQ","2024-12-20T14:29:41.000Z","<p>Updated Will with the Hotfix. Will wait for him to get it set up to implement.</p>","","","","0054u000006gpoAAAQ","2024-12-20T14:29:41.000Z"
"0D5Qk00000TZagFKAT","500Qk00000HVKyLIAX","TextPost","0054u000006gpoAAAQ","2024-12-23T16:33:43.000Z","Next Steps Updated: Waiting on development to provide second Hotfix.","","","","0054u000006gpoAAAQ","2024-12-23T16:33:43.000Z"
"0D5Qk00000TZagEKAT","500Qk00000HVKyLIAX","TextPost","0054u000006gpoAAAQ","2024-12-23T16:33:43.000Z","What We've Learned Updated: Escalated as the scans don't show the errors / warning on when it skips various items. 
It appears to log in the extractor logs but not the job log.

Development released a hotfix. We applied it.
It does work however it reports the SDD Temp folder path rather than the original file path, which isn't what the customer wants.

Internal discussions determined customer is frustrated. 
Next steps for us. 
1. Dev to Correct the path outputted.
2. William and customer to determine all files that are skipped for Dev to make sure that each file is marked as skipped in the warnings / log so customer can identify them. 

Dev took feedback from our chat and fast tracked a second hotfix for all files.

Raw details. After correcting scoping from Michaels recommendation on Friday cans are going ok.
Customer has one more scenario they expect to produce a warning that currently doesnt.
PW protected files do warn.
Files within a non PW protected zip are scanned.
However PW protected files in a Non PW protected zip do not throw a warning as would be expected.

This was expressed in an email, just updating ticket.","","","","0054u000006gpoAAAQ","2024-12-23T16:33:43.000Z"
