"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk00000AZU8mIAH","500Qk00000Ir5qRIAR","On Escalation Ticket # 00428875 the Following Fields have been updated: 
Account ACV has been changed to 1582215.0333333333378.","00570000003KXurAAG","2024-12-04T19:33:15.000Z","2024-12-04T19:33:15.000Z","false","false"
"00aQk00000AZWDlIAP","500Qk00000Ir5qRIAR","On Escalation Ticket # 00428875 the Following Fields have been updated: 
Account ACV has been changed to 791107.5166666666689.","00570000003KXurAAG","2024-12-04T19:33:17.000Z","2024-12-04T19:33:17.000Z","false","false"
"00aQk00000AZW47IAH","500Qk00000Ir5qRIAR","On Escalation Ticket # 00428875 the new comment has been added: Append this case to the Prior 00427172","00570000003KXurAAG","2024-12-04T19:37:17.000Z","2024-12-04T19:37:17.000Z","false","false"
"00aQk00000Aa9QQIAZ","500Qk00000Ir5qRIAR","On Escalation Ticket # 00428875 the new comment has been added: Michael Burrofato:

@Salesforce @Chris Brooks @Ethan Israel  I've tried replicating this in house but I can't seem to trigger this error with just an older version of System.Data.SQLite.dll. The version number of 1.0.110 hasn't been in use for NEA since 9.0 (Based on my review of the code history). So there may just be a lot of outdated binaries in the customer's FSAA folder, besides System.Data.SQLite that were just never cleaned up over the years.  System.Data.SQLite.dll isn't even required in the root of FSAA anymore (it is required in FSAASensitiveData)

The plan of attack for development is to mark any of these old files as obsolete in the code, so that FSAA will remove them prior to scanning, which should prevent any further issues. But in order to do that we need to see exactly what's in the customer's directory.

 Is it possible to provide a zip of the FSAA folder and the FSAASensitiveData folder containing all the binaries? (You don't have to provide tier 2s or logs)

[DevOps CommentId:11340351]","0054u000006gtWUAAY","2024-12-05T10:48:21.000Z","2024-12-05T10:48:21.000Z","false","false"
"00aQk00000Aa9S2IAJ","500Qk00000Ir5qRIAR","On Escalation Ticket # 00428875 the new comment has been added: Michael Burrofato:

@Salesforce @Chris Brooks @Ethan Israel  I've tried replicating this in house but I can't seem to trigger this error with just an older version of System.Data.SQLite.dll. The version number of 1.0.110 hasn't been in use for NEA since 9.0 (Based on my review of the code history). So there may just be a lot of outdated binaries in the customer's FSAA folder, besides System.Data.SQLite that were just never cleaned up over the years.  System.Data.SQLite.dll isn't even required in the root of FSAA anymore (it is required in FSAASensitiveData)

The plan of attack for development is to mark any of these old files as obsolete in the code, so that FSAA will remove them prior to scanning, which should prevent any further issues. But in order to do that we need to see exactly what's in the customer's directory.

 Is it possible to provide a zip of the FSAA folder and the FSAASensitiveData folder containing all the binaries? (You don't have to provide tier 2s or logs)

[DevOps CommentId:11340351]","0054u000006gtWUAAY","2024-12-05T10:48:22.000Z","2024-12-05T10:48:22.000Z","false","false"
"00aQk00000AaAhUIAV","500Qk00000Ir5qRIAR","On Escalation Ticket # 00428875 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-05T11:03:20.000Z","2024-12-05T11:03:20.000Z","false","false"
"00aQk00000AaAhWIAV","500Qk00000Ir5qRIAR","On Escalation Ticket # 00428875 the new comment has been added: Michael Burrofato:

@WaitingOnEngineer

[DevOps CommentId:11340519]","0054u000006gtWUAAY","2024-12-05T11:03:21.000Z","2024-12-05T11:03:21.000Z","false","false"
"00aQk00000Aacx3IAB","500Qk00000Ir5qRIAR","On Escalation Ticket # 00428875 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","00570000003KXurAAG","2024-12-05T17:04:55.000Z","2024-12-05T17:04:55.000Z","false","false"
"00aQk00000AjCs5IAF","500Qk00000Ir5qRIAR","On Escalation Ticket # 00428875 the Following Fields have been updated: 
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-12-13T05:04:13.000Z","2024-12-13T05:04:13.000Z","false","false"
"00aQk00000AjCs7IAF","500Qk00000Ir5qRIAR","On Escalation Ticket # 00428875 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-12-05 11:03 UTC and the last detected comment from support was 2024-12-04 19:37 UTC.

If this escalation has been resolved with the customer, please add a comment so this can be closed in Azure DevOps.

@WaitingOnEngineer

[DevOps CommentId:11405360]","0054u000006gtWUAAY","2024-12-13T05:04:14.000Z","2024-12-13T05:04:14.000Z","false","false"
