"Id","ParentId","CommentBody","CreatedById","CreatedDate","LastModifiedDate","IsPublished","IsDeleted"
"00aQk000007JntpIAC","500Qk00000BjuXZIAZ","On Escalation Ticket # 00411874 the Following Fields have been updated: 
Account ACV has been changed to 1657014.16.
Priority has been changed to High.","005Qk000001nViKIAU","2024-06-13T15:18:08.000Z","2024-06-13T15:18:08.000Z","false","false"
"00aQk000007JiKiIAK","500Qk00000BjuXZIAZ","On Escalation Ticket # 00411874 the Following Fields have been updated: 
Account ACV has been changed to 828507.08.","005Qk000001nViKIAU","2024-06-13T15:18:09.000Z","2024-06-13T15:18:09.000Z","false","false"
"00aQk00000878KPIAY","500Qk00000BjuXZIAZ","On Escalation Ticket # 00411874 the Following Fields have been updated: 
Account ACV has been changed to 1309931.08.
Status has been changed to Awaiting Escalating Engineer.","0054u000006gtWUAAY","2024-07-24T05:00:46.000Z","2024-07-24T05:00:46.000Z","false","false"
"00aQk00000878KTIAY","500Qk00000BjuXZIAZ","On Escalation Ticket # 00411874 the new comment has been added: -- DevOps Automation Assistant --

This escalation has been in the status 'Awaiting Support' since 2024-06-17 06:43 UTC and no response has been detected.

This escalation will now be archived in Azure DevOps. If this escalation is still active, please add a comment to automatically reopen the escalation in DevOps.

@WaitingOnEngineer

[DevOps CommentId:10612543]","0054u000006gtWUAAY","2024-07-24T05:00:47.000Z","2024-07-24T05:00:47.000Z","false","false"
"00aQk00000878KSIAY","500Qk00000BjuXZIAZ","On Escalation Ticket # 00411874 the new comment has been added: Marius Ghiurcau:

The behavior reported here is a known limitation. Please check also the ADO item I linked to this issue. For New Outlook, on macOS, the EPP client is able just to report confidential content, not to block it. This happens for accounts that are using Microsoft Sync Technology. 

[DevOps CommentId:10450109]","0054u000006gtWUAAY","2024-07-24T05:00:47.000Z","2024-07-24T05:00:47.000Z","false","false"
"00aQk0000088QYbIAM","500Qk00000BjuXZIAZ","On Escalation Ticket # 00411874 the Following Fields have been updated: 
Status has been changed to Awaiting Client.","005Qk000001nViKIAU","2024-07-24T22:05:57.000Z","2024-07-24T22:05:57.000Z","false","false"
"00aQk000008BGfxIAG","500Qk00000BjuXZIAZ","On Escalation Ticket # 00411874 the Following Fields have been updated: 
Status has been changed to Closed - Resolved.","005Qk000001nViKIAU","2024-07-26T23:03:15.000Z","2024-07-26T23:03:15.000Z","false","false"
"00aQk000008D358IAC","500Qk00000BjuXZIAZ","On Escalation Ticket # 00411874 the Following Fields have been updated: 
Account ACV has been changed to 2619862.16.","005Qk000001nViKIAU","2024-07-29T15:02:41.000Z","2024-07-29T15:02:41.000Z","false","false"
"00aQk000008QmlyIAC","500Qk00000BjuXZIAZ","On Escalation Ticket # 00411874 the Following Fields have been updated: 
Account ACV has been changed to 1309931.08.","0054u000006gtWUAAY","2024-08-09T06:05:14.000Z","2024-08-09T06:05:14.000Z","false","false"
"00aQk00000BoKObIAN","500Qk00000BjuXZIAZ","On Escalation Ticket # 00411874 the Following Fields have been updated: 
Account ACV has been changed to 1696328.09.","0054u000006gtWUAAY","2025-02-14T11:44:26.000Z","2025-02-14T11:44:26.000Z","false","false"
